25.02,8.70,0.00
30.04,17.39,0.00
31.55,20.00,0.00
36.57,11.31,0.00
41.59,2.61,0.00
43.10,0.00,0.00
48.12,8.70,0.00
53.14,17.39,0.00
54.64,20.00,0.00
59.66,11.31,0.00
64.68,2.61,0.00
66.19,0.00,0.00
71.00,8.34,0.00
71.96,10.00,0.00
74.41,19.59,0.00
81.16,26.83,0.00
90.55,29.95,0.00
100.29,28.19,0.00
107.99,21.97,0.00
111.76,12.83,0.00
111.96,10.00,0.00
114.41,0.41,0.00
121.16,-6.83,0.00
130.55,-9.95,0.00
140.29,-8.18,0.00
147.99,-1.97,0.00
151.76,7.18,0.00
151.96,10.00,0.00
161.97,10.00,0.00
171.97,10.00,0.00
181.98,10.00,0.00
191.98,10.00,0.00
201.99,10.00,0.00
211.99,10.00,0.00
222.00,10.00,0.00
230.00,10.00,0.00
230.00,0.00,0.00
230.00,-10.00,0.00
230.00,-20.00,0.00
230.00,-30.00,0.00
230.00,-40.00,0.00
230.00,-50.00,0.00
228.76,-59.89,0.00
225.10,-69.17,0.00
219.27,-77.26,0.00
211.61,-83.66,0.00
202.61,-87.96,0.00
192.83,-89.90,0.00
182.87,-89.36,0.00
173.36,-86.37,0.00
164.87,-81.12,0.00
157.96,-73.94,0.00
153.03,-65.26,0.00
150.40,-55.64,0.00
150.24,-45.67,0.00
152.54,-35.97,0.00
157.18,-27.13,0.00
163.86,-19.73,0.00
172.16,-14.20,0.00
181.57,-10.90,0.00
191.51,-10.03,0.00
201.35,-11.64,0.00
210.48,-15.64,0.00
218.35,-21.78,0.00
224.45,-29.67,0.00
226.00,-32.56,0.00
